Gene_acc,Gene_id,SMp1,SMp2,SMp3,SMp4,NST1p1,NST1p2,NST1p3,NST1p4,Desc
59,Tb927.11.7213,851100.0,992710.0,840680.0,918200.0,692960.0,772540.0,673690.0,712340.0,"Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC)/Endoplasmic reticulum vesicle transporter, putative"
60,Tb11.02.5090b,128100.0,112050.0,116750.0,135290.0,93260.0,93519.0,98167.0,95032.0,"proliferator-activated receptor-interacting protein (PRIP) interacting protein (PIMT), putative, pseudogene"
61,Tb11.02.5360b,25016.0,20388.0,25844.0,19702.0,17838.0,20571.0,32579.0,25684.0,"hypothetical protein, conserved"
62,Tb11.02.5380b,470990.0,523760.0,476170.0,497070.0,432650.0,431340.0,442720.0,438170.0,"exosome complex exonuclease RRP44p homologue, putative"
63,Tb11.02.5390b,113070.0,133660.0,113530.0,119990.0,94808.0,102190.0,99201.0,102230.0,"mRNA processing protein, putative"
64,Tb11.02.5410b,18710.0,23191.0,25347.0,25226.0,18267.0,18487.0,14060.0,18595.0,"ubiquitin activating enzyme, putative"
65,Tb11.02.5420b,629770.0,653100.0,619180.0,652340.0,611480.0,580140.0,520460.0,590320.0,"NADPH-cytochrome p450 reductase, putative"
66,Tb11.02.5430b,18818.0,18688.0,14001.0,12068.0,17574.0,21758.0,15374.0,13862.0,"hypothetical protein, conserved"
67,Tb927.6.4980,2052500.0,2123800.0,1851000.0,2308600.0,2087000.0,1880400.0,1908400.0,2194300.0,40S ribosomal protein S14
68,Tb927.11.7670,66243.0,69933.0,68918.0,59102.0,57408.0,58661.0,64317.0,69119.0,"Cornifin (SPRR) family, putative"
69,Tb927.10.1130,336760.0,349050.0,331110.0,335580.0,310500.0,288110.0,330280.0,333640.0,"dynein arm light chain, axonemal, putative"
70,Tb927.10.1140,101730.0,124200.0,117610.0,117670.0,83359.0,87174.0,80388.0,90571.0,epsilon tubulin
71,Tb927.10.1150,6064.9,7869.7,6685.2,6131.3,6285.4,3539.7,5510.8,6563.9,"hypothetical protein, conserved"
72,Tb927.10.1160,0.0,4516.8,5377.9,2418.6,3981.1,3413.8,3436.6,0.0,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative"
74,Tb927.11.715,209390.0,237400.0,206410.0,216880.0,222010.0,203450.0,173590.0,196450.0,"dynein light chain LC8, putative"
75,Tb11.0850,553700.0,513780.0,424710.0,531690.0,411460.0,392210.0,442570.0,448830.0,"SCAMP family, putative"
76,Tb927.4.1100,2834100.0,3251900.0,2870000.0,2887500.0,2527100.0,2656800.0,2474900.0,2463100.0,"ribosomal protein L21E (60S), putative"
78,Tb11.1220,4751700.0,4947200.0,4554400.0,5061700.0,4191000.0,4053300.0,4093400.0,4421500.0,hypothetical protein
79,Tb927.10.15270,1255600.0,1403500.0,1351700.0,1264600.0,1064800.0,1022400.0,968080.0,1047100.0,"metallo- peptidase, Clan MG, Family M24"
80,Tb927.11.1840,18715000.0,21003000.0,18543000.0,18859000.0,16122000.0,16472000.0,16674000.0,15415000.0,"hypothetical protein, conserved"
81,Tb11.1780.1-p1,88569.0,122490.0,113600.0,102690.0,105530.0,96734.0,99642.0,101510.0,"retrotransposon hot spot protein 1 (RHS1, pseudogene), putative"
82,Tb11.1790.1-p1,1755200.0,1870200.0,1661200.0,1947900.0,1568500.0,1511100.0,1806200.0,1578000.0,"retrotransposon hot spot protein (RHS, pseudogene), putative"
83,Tb11.v5.0111,9743.9,11832.0,9844.3,8619.4,6128.4,6640.1,5129.3,6827.9,"variant surface protein (VSG), putative"
85,Tb927.7.4600,69664.0,88560.0,76119.0,77421.0,103820.0,75168.0,106700.0,69836.0,"Calponin homology (CH) domain containing protein, putative"
86,Tb927.7.4640,11000.0,11699.0,12652.0,9345.8,23587.0,27026.0,27994.0,22684.0,"hypothetical protein, conserved"
87,Tb927.7.4650,142370.0,160250.0,127670.0,142150.0,122100.0,130300.0,146860.0,128600.0,J Biosynthesis Protein 2
88,Tb927.7.4670,50023.0,58492.0,44317.0,43562.0,54936.0,52172.0,51331.0,32333.0,ribosomal RNA processing protein 4
89,Tb927.7.4690,138400.0,166110.0,138030.0,154590.0,124780.0,131480.0,118340.0,117650.0,hypothetical protein
90,Tb11.v5.0154,4869700.0,5250700.0,4741000.0,4886100.0,4567700.0,4419000.0,4306600.0,4629800.0,"WD domain, G-beta repeat, putative"
91,Tb927.7.4730,2065.8,1075.2,1495.1,3278.0,1079.5,2494.4,1565.6,2417.6,pumilio/PUF RNA binding protein 5
92,Tb927.7.4740,30473.0,36827.0,29849.0,30847.0,25778.0,31388.0,25940.0,27998.0,"hypothetical protein, conserved"
93,Tb927.7.4750,175410.0,168980.0,149520.0,170920.0,116310.0,126320.0,112790.0,100630.0,"hypothetical protein, conserved"
94,Tb927.7.4770,6908400.0,8416400.0,6925800.0,7682000.0,7168400.0,7584500.0,6552000.0,6969300.0,"cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative"
95,Tb927.7.4780,6483.7,6527.1,7759.1,11517.0,6095.4,8316.2,7687.5,5539.0,"conserved hypothetical protein, putative"
96,Tb927.7.4790,213350.0,254400.0,213030.0,215110.0,216290.0,192300.0,194650.0,191120.0,proteasome beta 6 subunit
97,Tb927.7.4810,381010.0,370250.0,328130.0,368720.0,260230.0,293940.0,284990.0,312460.0,"HD domain containing protein, putative"
98,Tb927.7.4820,110570.0,121520.0,110120.0,118420.0,71033.0,80112.0,53738.0,63560.0,"Trm112p-like protein, putative"
99,Tb927.7.4840,190530.0,193690.0,167220.0,205160.0,157720.0,203400.0,148230.0,175070.0,"hypothetical protein, conserved"
100,Tb927.7.4860,38035.0,42937.0,35926.0,40941.0,25258.0,29499.0,30028.0,28596.0,kinetoplastid kinetochore protein 13
101,Tb927.7.4870,139080.0,166100.0,149660.0,133250.0,95946.0,96273.0,127670.0,100870.0,"hypothetical protein, conserved"
102,Tb927.7.4900,886990.0,951550.0,848630.0,933430.0,798870.0,796400.0,772150.0,752930.0,5-3 exoribonuclease A
103,Tb927.7.4910,2227200.0,2306000.0,2193900.0,2322600.0,1969100.0,2052900.0,2044400.0,1840100.0,"hypothetical protein, conserved"
104,Tb927.7.4930,13478.0,16685.0,16930.0,16834.0,18511.0,14699.0,17191.0,11139.0,ribonuclease H1
105,Tb927.7.4940,57216.0,61434.0,57130.0,56575.0,47557.0,45068.0,56978.0,47654.0,"serine peptidase, clan SC, family S9A-like protein"
106,Tb927.7.4960,88751.0,132340.0,100970.0,140570.0,116830.0,114340.0,125630.0,94941.0,"hypothetical protein, conserved"
107,Tb927.7.4970,3452.7,0.0,5346.9,3369.9,0.0,0.0,0.0,2794.9,"glutamine synthetase, putative"
108,Tb927.7.4980,8003.6,11248.0,11715.0,10726.0,15215.0,9650.0,9705.5,11300.0,Present in the outer mitochondrial membrane proteome 35
109,Tb927.7.4990,405070.0,423970.0,361230.0,397320.0,359570.0,367490.0,366320.0,370060.0,"hypothetical protein, conserved"
110,Tb927.7.5020,14116000.0,15953000.0,13166000.0,14170000.0,13476000.0,13246000.0,12472000.0,12795000.0,"60S ribosomal protein L19, putative"
111,Tb927.7.5030,487180.0,512180.0,398490.0,552130.0,396550.0,448270.0,408920.0,392460.0,"hypothetical protein, conserved"
112,Tb927.7.5050,448000.0,522700.0,526130.0,512310.0,450690.0,448390.0,453320.0,468570.0,"hypothetical protein, conserved"
113,Tb927.10.5950,34051.0,21307.0,41851.0,33237.0,32334.0,32565.0,26973.0,32343.0,"Serine/threonine-protein kinase NEK17, putative"
114,Tb11.v5.0191,39306.0,47085.0,45767.0,38177.0,42060.0,40220.0,35044.0,32505.0,"ELMO/CED-12 family, putative"
115,Tb927.10.5970,3544.3,5480.9,3920.9,4257.1,3713.5,2647.3,5175.9,3553.4,predicted zinc finger protein
116,Tb927.10.5990,852460.0,972400.0,823110.0,916240.0,730560.0,785090.0,762120.0,742020.0,"Centrosomal protein of 57 kDa, putative"
117,Tb11.v5.0196,3340200.0,3539500.0,3380400.0,3647200.0,2940900.0,3001100.0,3004800.0,2857700.0,"Proteasome subunit A N-terminal signature/Proteasome subunit, putative"
118,Tb927.10.6060,281890.0,328700.0,296060.0,352670.0,342450.0,354980.0,290870.0,338460.0,universal minicircle sequence binding protein 2
119,Tb927.10.6080,714340.0,769800.0,729840.0,654330.0,642760.0,618530.0,634970.0,547230.0,"proteasome subunit beta type-5, putative"
120,Tb11.v5.0201,35901.0,33691.0,31483.0,29679.0,26231.0,27430.0,24375.0,27220.0,"tRNA pseudouridine synthase A, putative"
121,Tb927.10.6110,8414.3,9952.1,9997.5,11441.0,5147.1,7949.8,9177.5,6068.0,"hypothetical protein, conserved"
122,Tb927.10.6120,27999.0,32236.0,24693.0,28767.0,35565.0,31098.0,33239.0,33698.0,"Peptidase M76 family, putative"
123,Tb927.5.310,3674500.0,4528000.0,3389800.0,4042100.0,2987500.0,3197800.0,2814700.0,2999300.0,"invariant surface glycoprotein, putative"
124,Tb927.5.291b,23191.0,24919.0,21569.0,26805.0,17939.0,15537.0,19491.0,19082.0,"variant surface glycoprotein (VSG)-related, putative"
125,Tb927.5.295b,2752000.0,3140400.0,2783800.0,2970400.0,2376700.0,2388400.0,2184900.0,2267700.0,retrotransposon hotspot (RHS) protein 1
126,Tb927.5.300b,197570.0,211370.0,184780.0,199960.0,165670.0,163210.0,162850.0,167170.0,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein, putative"
127,Tb927.5.309b,2159300.0,2510600.0,2129600.0,2449800.0,1612300.0,1686200.0,1554100.0,1563700.0,"invariant surface glycoprotein, putative"
128,Tb927.5.500,346580.0,362270.0,348530.0,387640.0,389480.0,318970.0,388160.0,362040.0,"hypothetical protein, conserved"
129,Tb927.5.450,38978.0,48208.0,43903.0,49942.0,29371.0,36874.0,35212.0,27685.0,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial"
130,Tb927.5.420,120080.0,129470.0,128050.0,127290.0,126530.0,141340.0,116530.0,125620.0,"invariant surface glycoprotein, putative"
131,Tb927.5.410,57849.0,61465.0,52034.0,60914.0,36126.0,39031.0,41008.0,40990.0,"invariant surface glycoprotein, putative"
132,Tb927.5.390,1080800.0,1209600.0,1016400.0,1116700.0,821730.0,922260.0,781300.0,787210.0,"75 kDa invariant surface glycoprotein, putative"
133,Tb927.5.370,265530.0,282160.0,271470.0,279790.0,394460.0,380060.0,419420.0,344820.0,"75 kDa invariant surface glycoprotein, putative"
134,Tb927.5.360,4404000.0,4589800.0,4062500.0,4457200.0,3183900.0,3550700.0,3087200.0,3201800.0,75 kDa invariant surface glycoprotein
135,Tb11.v5.0232,506180.0,578040.0,497030.0,552460.0,388000.0,434460.0,456360.0,380170.0,"hypothetical protein, conserved"
136,Tb927.10.5240,206070.0,257840.0,189930.0,240890.0,209170.0,210980.0,188970.0,183270.0,"cAMP binding protein, putative"
137,Tb927.10.5210,14161.0,18445.0,19792.0,18009.0,11734.0,14837.0,15278.0,12606.0,TFIIH basal transcription factor subunit
138,Tb927.10.5200,31418.0,37337.0,28099.0,31026.0,29443.0,32212.0,25509.0,27480.0,"hypothetical protein, conserved"
139,Tb927.10.5340,8099000.0,8582900.0,7266700.0,7898600.0,7265800.0,7785600.0,6844200.0,6183300.0,"40S ribosomal protein S18, putative"
140,Tb927.10.5310,55881.0,67456.0,63534.0,59120.0,39139.0,46417.0,46547.0,45986.0,"AMP-activated kinase, alpha 1"
141,Tb927.10.5300,347660.0,437110.0,387200.0,448070.0,336080.0,298850.0,296860.0,352400.0,"eukaryotic translation initiation factor 6 (eIF-6), putative"
142,Tb927.10.5280,225010.0,286050.0,204930.0,248980.0,216690.0,224630.0,201790.0,197410.0,"pre-mRNA splicing factor ATP-dependent RNA helicase, putative"
143,Tb927.10.5270,63070.0,70281.0,66698.0,64896.0,60009.0,60059.0,64216.0,63911.0,mitogen-activated protein kinase kinase 5
144,Tb927.11.7310,78894.0,101490.0,88190.0,102260.0,75148.0,64516.0,64330.0,73174.0,"RNA binding protein, putative"
145,Tb927.11.7300,23403.0,31623.0,27929.0,31308.0,25091.0,21081.0,26526.0,23982.0,"major facilitator superfamily, putative"
146,Tb927.11.7290,775070.0,931350.0,763080.0,865170.0,890280.0,868420.0,870790.0,853420.0,"pantothenate kinase subunit, putative"
147,Tb927.11.7280,63347.0,78277.0,72293.0,81705.0,54607.0,59118.0,58113.0,56335.0,"DNA-direcetd RNA polymerase II, subunit 9, putative"
148,Tb927.11.7270,1361500.0,1612400.0,1451000.0,1459300.0,1122200.0,1161600.0,1177300.0,1114700.0,"proteasome beta 3 subunit, putative"
149,Tb927.11.7240,686030.0,774590.0,740950.0,728320.0,612020.0,665290.0,592300.0,617570.0,nexin-dynein regulatory complex 2
150,Tb927.7.4480,9261600.0,11525000.0,9822300.0,10599000.0,8391800.0,8350100.0,7414600.0,7552300.0,"adenosine 5-monophosphoramidase, putative"
151,Tb927.7.4490,326990.0,365170.0,324070.0,338850.0,373030.0,342860.0,350920.0,352910.0,"hypothetical protein, conserved"
152,Tb927.7.4500,3404100.0,4177000.0,3337100.0,3661900.0,2881500.0,2793200.0,2709400.0,2829000.0,"PX domain containing protein, putative"
153,Tb927.7.4510,133860.0,131020.0,130640.0,142230.0,114560.0,125900.0,111360.0,118170.0,"Domain of unknown function (DUF4201), putative"
154,Tb927.7.4520,10626000.0,11397000.0,10114000.0,11144000.0,8684700.0,8889400.0,8146900.0,8284600.0,"Thioredoxin-like, putative"
155,Tb927.7.4550,538500.0,580070.0,519100.0,582640.0,441910.0,422590.0,404780.0,394130.0,Mitochondrial ribosomal protein L7/L12
156,Tb927.7.4560,18500.0,20571.0,19934.0,20708.0,19382.0,18566.0,16138.0,18570.0,Histone acetyltransferase 1
157,Tb927.7.4570,4304100.0,5110100.0,4471300.0,4480900.0,3920000.0,4081200.0,3738800.0,3530200.0,inosine-guanine nucleoside hydrolase
158,Tb927.10.6350,555010.0,682650.0,518860.0,629970.0,497360.0,518230.0,485470.0,519090.0,trypanin
159,Tb927.10.6340,77694.0,90825.0,83065.0,86688.0,89544.0,87483.0,88301.0,91805.0,"hypothetical protein, conserved"
160,Tb927.10.6330,176690.0,204280.0,192810.0,209420.0,178520.0,167300.0,180010.0,166910.0,kinetoplastid kinetochore protein 1
161,Tb927.10.6320,889540.0,899280.0,858280.0,880080.0,768270.0,718580.0,776940.0,783660.0,"CBF/Mak21 family, putative"
162,Tb927.10.6310,1670700.0,1834800.0,1610300.0,1630300.0,1306100.0,1297200.0,1374500.0,1360600.0,"major vault protein, putative"
163,Tb927.10.6290,786070.0,900800.0,804560.0,822360.0,695470.0,731460.0,730340.0,717110.0,"ATP-dependent DEAD/H RNA helicase, putative"
164,Tb927.5.340,2523.1,2464.4,2478.5,2548.8,2730.1,2536.3,2123.2,974.83,"expression site-associated gene 5 (ESAG5) protein, putative"
165,Tb927.11.12770,12790.0,13146.0,13006.0,12416.0,7912.1,8251.0,9580.8,9375.9,"ubiquitin ligase, putative"
166,Tb927.11.12750,118660.0,124010.0,109980.0,136630.0,97562.0,86147.0,100000.0,92268.0,cleavage and polyadenylation specificity factor 30 kDa subunit
167,Tb927.10.15930,20397.0,16625.0,16831.0,18517.0,12147.0,15171.0,13354.0,12700.0,"pdz domain containing protein, putative"
168,Tb11.v5.0304,111340.0,136830.0,111430.0,121300.0,113410.0,106120.0,100830.0,120560.0,"cation transporter, putative"
169,Tb11.v5.0325,272430.0,302130.0,242130.0,277920.0,241020.0,235570.0,228460.0,229920.0,"retrotransposon hot spot (RHS) protein, putative"
170,Tb11.v5.0326,86947.0,109580.0,97175.0,78033.0,84903.0,72433.0,81597.0,82543.0,"retrotransposon hot spot (RHS) protein, putative"
171,Tb927.10.8440,4517700.0,5117000.0,4449500.0,4473900.0,2446000.0,2547100.0,2285000.0,2547200.0,glucose transporter 1B
172,Tb11.v5.0333,5926.6,7153.0,7386.8,6060.7,4022.4,5274.2,5052.6,5038.7,"THT1 - hexose transporter, putative, fragment"
173,Tb927.10.5080,509130.0,600930.0,553580.0,540450.0,439760.0,494930.0,452980.0,446680.0,GPI transamidase component Tta2
174,Tb927.10.5070,15653.0,19793.0,19142.0,22198.0,17780.0,14725.0,17104.0,12698.0,"ribonuclease H, putative"
175,Tb927.10.5040,412560.0,483220.0,415300.0,455780.0,361620.0,373630.0,391440.0,335110.0,"chaperone protein DnaJ, putative"
177,Tb927.1.1240,580830.0,570920.0,570130.0,586020.0,560560.0,507420.0,542190.0,549740.0,"cytidine triphosphate synthase, putative"
178,Tb927.1.1270,953.62,1693.9,1352.5,1544.3,1081.5,1169.6,914.23,1036.8,"homocysteine S-methyltransferase, putative"
179,Tb11.v5.0364,760970.0,881680.0,747350.0,843990.0,732140.0,684860.0,602590.0,584150.0,"hypothetical protein, conserved"
180,Tb11.v5.0365,100080.0,113270.0,81840.0,91065.0,123430.0,120450.0,99080.0,77458.0,"hypothetical protein, conserved"
181,Tb11.v5.0366,2953600.0,3285200.0,2774400.0,3193900.0,2545400.0,2614300.0,2420900.0,2494100.0,"hypothetical protein, conserved"
182,Tb927.1.1310,69820.0,80093.0,66553.0,73210.0,62138.0,67035.0,46512.0,59083.0,"transmembrane protein, conserved"
183,Tb11.v5.0383,30406.0,39968.0,35998.0,32929.0,23244.0,22629.0,29639.0,33452.0,"zeta tubulin, putative"
184,Tb927.11.1180,891790.0,945450.0,877510.0,873730.0,817490.0,811770.0,795140.0,794620.0,"cdc2-related kinase 6, putative"
185,Tb927.1.1370,268320.0,241720.0,220310.0,244710.0,233270.0,262900.0,243380.0,253540.0,"rRNA biogenesis protein, putative"
186,Tb11.v5.0394,1100200.0,1131700.0,1091800.0,1139300.0,888600.0,952740.0,873290.0,854130.0,"hypothetical protein, conserved"
187,Tb927.10.16170,29046.0,32144.0,32225.0,35349.0,30361.0,32471.0,27446.0,32310.0,"potassium voltage-gated channel, putative"
188,Tb927.10.16150,201970.0,238970.0,197080.0,231220.0,187480.0,186530.0,206160.0,166560.0,"ATP-dependent zinc metallopeptidase, putative"
189,Tb11.v5.0406,62031.0,71704.0,64424.0,82098.0,66573.0,70672.0,67905.0,60083.0,"glycerol uptake protein, putative"
190,Tb927.10.540,7083200.0,8296000.0,7054700.0,7572900.0,6504300.0,6677300.0,6021600.0,5821900.0,"ATP-dependent RNA helicase SUB2, putative"
191,Tb927.10.14490,1647200.0,1896100.0,1563900.0,1770900.0,1452500.0,1351500.0,1321700.0,1348100.0,"hypothetical protein, conserved"
192,Tb927.5.350,340180.0,377540.0,340980.0,354180.0,279620.0,259940.0,226180.0,271730.0,"75 kDa invariant surface glycoprotein, putative"
193,Tb11.v5.0422,223500.0,231370.0,197760.0,226260.0,168050.0,174370.0,182810.0,171420.0,"SET domain containing protein, putative"
194,Tb927.10.15850,724830.0,801950.0,741900.0,757820.0,691110.0,688280.0,719400.0,701630.0,Peroxisome biogenesis factor 12
195,Tb11.v5.0429,6282.6,6673.9,7719.2,5683.2,4644.1,7357.6,7275.1,5835.5,"receptor-type adenylate cyclase GRESAG 4, putative"
196,Tb927.10.15390,550730.0,698110.0,611660.0,649390.0,474240.0,532800.0,522350.0,525440.0,Flagellum attachment zone protein 7
197,Tb927.11.3650,7137500.0,7776900.0,6949800.0,7301800.0,7070700.0,7432500.0,6938400.0,6158900.0,"adenylosuccinate synthetase, putative"
198,Tb927.1.1030,190660.0,197600.0,225550.0,218190.0,171910.0,161210.0,153790.0,208120.0,Nucleolar protein 49
200,Tb927.1.1560,3371600.0,3811300.0,3253900.0,3582200.0,2931400.0,2860700.0,2748000.0,2817100.0,"vesicular-fusion protein nsf, putative"
201,Tb927.10.15650,18838.0,18209.0,13791.0,10714.0,13572.0,14678.0,16974.0,16936.0,Mitoribosomal SSU assembly factor 11
202,Tb11.v5.0468,85927.0,92412.0,56211.0,74795.0,42119.0,47377.0,26365.0,15820.0,"alpha tubulin, putative"
203,Tb927.1.2390,24336000.0,27608000.0,23459000.0,25544000.0,21188000.0,21227000.0,21464000.0,20685000.0,beta tubulin
204,Tb927.3.3290,83626.0,97971.0,79289.0,90309.0,55916.0,66378.0,62624.0,52248.0,"protein kinase, putative"
205,Tb11.v5.0480,954530.0,1072000.0,983580.0,1038900.0,877710.0,967800.0,862370.0,854580.0,"DNA-directed RNA polymerase, alpha subunit, putative"
206,Tb927.10.15380,155380.0,198210.0,194830.0,185540.0,159800.0,159510.0,164320.0,153990.0,"U3 snoRNA-associated protein UTP11, putative"
207,Tb927.10.1200,332000.0,389800.0,333520.0,375900.0,246470.0,262950.0,249810.0,276380.0,"Programmed cell death protein 2, C-terminal putative domain containing protein, putative"
